# Title: VN Malicious Domains Splunk Lookup
# Description: Block malicious domains targeting Vietnamese users
# Updated: 2024-08-09T12:06:53Z
# Expires: 1 day (update frequency)
# Homepage: https://gitlab.com/malware-filter/vn-badsite-filter
# License: https://gitlab.com/malware-filter/vn-badsite-filter#license
# Source: https://api.chongluadao.vn/v2/blacklistdomains & https://api.chongluadao.vn/v2/blacklistlinks
"host","path","message","updated"
"136888.vip","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"137888.vip","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"13hotlive.vip","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"13luxury.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"13lxysp.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"14hotlive.vip","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"14lxysp.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"1516shop.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"156878.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"156886.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"158zpo.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"15bes.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"15hotlive.vip","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"15luxury.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"16074.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"16612.cc","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"16618.cc","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"166688.vip","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"1688088.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"168kbet.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"168ttwin.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"16hotlive.vip","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"16luxury.com","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
"17-inch.de","","vn-badsite-filter malicious website detected","2024-08-09T12:06:53Z"
